Precio,Ubicación,Descripción,Latitud,Longitud,Mantenimiento,Zona,Ubicación_ID,m²,Recámaras,Baños,Estacionamiento
30000,Monterrey,"Casa nueva de 2 plantas en fraccionamiento privado con seguridad, control de acceso, plumas y cámaras. Cochera para 2 autos, recibidor, 1/2 baño, sala comedor, cocina integral con estufa, lavandería, patio. P. A. : Estancia familiar, 3 recámaras cada una con baño vestidor. Equipada con minisplits, abanicos de techo, persianas. Tg",25.5703982,-100.2733331,0,Valle Alto,101.0,1,3,3,2
40000,Monterrey,"Casa en renta en pedregal de la silla (calle plana) Renta de $40, 000. Cochera doble con porton. A un par de casas del Parque. Calle plana. Amplia Sala, Cocina y Comedor de gran tamaño con vistas panoramicas de la Sierra Madre. Medio baño de visitas con lavanetas de Marmol. En Planta Alta se encuentra una como estancia con gran ventilacion e iluminacion. Recamara principal con balcon que da vistas a la Reserva de La Silla, con baño y vestidor. Dos recamaras secundarias con Baño y Vestidor, asi como vistas panoramicas de la Sierra Madre. Roof Garden con vista 360°, de gran tamaño ideal para todo tipo de reuniones, asador con amplia barra social, medio baño para esta area, bodega de buen tamaño. Sotano con Cuarto de juegos, medio baño para esta area, patio comodo. Una gran oportunidad con opciones a estacionamiento para visitas, no puedes dejar pasar esta oportunidad! Mas de 400 metros de construcción para tu bienestar y mejorar la vida del dia a dia. Agenda una cita con nuestros expertos. Angelica Treviño y Asociados",25.7870653,-100.318683,0,Prados de la Silla 1 Sector,101.0,210,3,4,2
50000,Monterrey,"Casa en Venta o Renta Zona Colinas del Valle, Monterrey, N. L. Precio venta: $11, 500, 000. Precio renta: $50, 000. Terreno: 171 M2. Construcción: 437 M2. Cuenta con: - 3 niveles. - Patio con área techada. - Fachada de mármol. - Lavanetas de granito. - Cuarto de servicio. - Lavandería. - Sala-comedor. - Cocina. - Oficina. - 3 recámaras c/u con su baño. - Recámara principal con vestidor y secundarias con clósets. - Cuarto multiusos con baño completo. - Terraza",25.6773984,-100.3940095,0,Colinas del Valle,101.0,169,3,4,0
55000,Monterrey,"Esta casa de 3 niveles es una joya. Perfecta para quienes buscan espacio, comodidad y un hogar listo para disfrutar. En el primer nivel, cuentas con una cochera techada para 2 autos, una cocina equipada y una amplia sala-comedor con minisplit. Además, un patio techado ideal para reuniones y un cuarto de servicio con baño completo. Todo lo necesario, ¡ya incluido! En el segundo nivel, tienes 3 recámaras climatizadas, cada una con baño completo y walk-in closet, más una acogedora estancia para pasar tus tardes en familia. El tercer nivel es el toque final: una oficina o una gran recámara, según lo que prefieras, junto con una amplia terraza techada. Este espacio también se puede usar como una increíble área social o de juegos. Si estás buscando un hogar que ofrezca todo esto y más, esta es tu oportunidad. ¡Contáctame para agendar una visita y conocer esta magnífica propiedad! *En esta propiedad en especifico no se comparte comisión*",25.7467632,-100.3238291,0,Lázaro Cárdenas,101.0,290,4,5,2
60000,Monterrey,"Casa en renta en Rincón de los Ahuehuetes. Cuenta con doble frente, uno de ellos ubicado frente al arroyo muy arbolado y con vista panorámica. La privada esta ubicada en zona con medio ambiente verde, arbolado y con áreas de esparcimiento y de juegos para niños. Muy cerca de colegios, hospitales, centros comerciales. Cuenta con cochera para dos autos, con una zona abierta que incluye recibidor, sala, cocina integral cubierta de granito con isla, parrilla, torre de hornos con microondas, horno y cajón caliente. Lavandería y cuarto de servicio. Patio. En planta alta, se encuentran 3 recámaras, cada una con baño y walking closet amplios y muy iluminadas. La principal cuenta con área de salita, amplio vestidor, terraza y persianas blackout eléctricas. En un tercer nivel se encuentra un estudio muy amplio o cuarta recámara con medio baño. Terraza panorámica. Una bodega muy amplia y cuarto de servicio. La casa se encuentra climatizada, con persianas, ventanería duovent, cocina equipada que incluye refrigerador, lista para habitarse. El precio no incluye mantenimiento. Ven a conocerla!! Te encantará la ubicación! La clave de esta opción es rhoVer datos, si quieres ver propiedades adicionales haz contacto al (81) Ver datos y un Asesor Certificado te atenderá a la brevedad.",25.5782631,-100.2619436,0,Rincón de los Ahuehuetes,101.0,0,3,4,2
9000,San Nicolás de los Garza,"Casa en Renta amueblada, incluye lavadora, secadora, 1 cama matrimonial, comedor para 6 personas, sofá para sala. Bonita casa amueblada, a 5 min de Miguel Alemán, a 20 min del centro de Monterrey. 1 Planta. 2 Recamaras. Sala-Comedor. 1 Baño Completo. Patio. Tinaco. Cocina (estufa Refrigerador, Estantes) Lavadora. Secadora",25.7359203,-100.2344285,0,Villas de Casa Blanca,105.0,110,2,1,0
80000,Monterrey,"Carretera Nacional. Casa en 1 planta. 5, 000m2 Terreno - area de jardín y area verde. 3 recamaras con baño y vestidor. 1 recamara adicional - que puede ser adaptada como recamara, Family room. Area de oficina. Jardin interior. Sala-Comedor. Cocina integral completamente equipada con area de desayunador, ante comedor y Family. Terraza techada. 2 bodegas interiores y 1 bodega exterior. Cochera para 4 autos techados. Seguridad. Renta: $80, 000 no incluye mantenimiento",25.5307769,-100.2071004,0,Las Jaras,101.0,5000,4,3,6
55000,San Pedro Garza García,"Ofrezco hermosa casa en renta en la colonia privada el Refugio ( lomas de san Agustín) Consta de 2 plantas. Planta baja: -estudio. -sala y comedor. -cocina con espacio para antecomedor. -jardín (sintético) y terraza. -lavandería y cuarto de servicio. -cochera para 2 carros. Planta Alta: -cuarto de T. V. -3 recámaras cada una con baño y vestidor. * Minisplits en todas las áreas. * ⁠frente a parque. * ⁠aval de monterrey. * ⁠no mascota. Renta: $ 55, 000 más $ 2, 000 de mantenimiento",25.6363584,-100.3349666,2000,El Refugio,102.0,350,3,3,2
23500,Nuevo León,"Casa en renta 3 recamaras fraccionamiento privado apodaca nuevo leon Casa en renta, en fraccionamiento privado, equipada con climas en recamaras, cocina integral, estufa y boiler. Con 3 recamaras, 2 baños completos, lavandería con secadora, closets, sala, cocina y comedor, estacionamiento para 1 carro2 grandes parques con palapas, juegos infantiles y andadores, muy cerca de escuelas a 10 minutos del centro de Apodaca y del aeropuerto. Se paga un mes de deposito y un mes de renta anticipada en arrendamiento a un año. La casa se entregara y recibirá al inicio del cualquier contrato con servicios de energía eléctrica, agua potable, gas natural y sin adeudoslos servicios devengados serán pagados por el inquilino durante la vigencia del contrato. Se puede rentar a 6 meses con el apgo 100% anticipado del arrendamiento&amp;nbsp;Precio de renta: $23, 500 MisiónNuestra misión es ofrecer servicios inmobiliarios de calidad en Monterrey y el área Metropolitana. Atendiendo las necesidades y requerimientos de nuestros clientes, buscando superar sus expectativas y contribuir al desarrollo económico y social; capacitando a nuestros colaboradores para que brinden un servicio en excelencia.",25.776468,-100.1858743,0,Apodaca,104.0,105,3,2,0
17500,Monterrey,"Casa en cumbres san agustin, 3 recamaras 2 baños y medio. Cochera para 1 coche techado, reja electrica. Sala comedor cocina integral refrigerador, estufa, campana lavanderia amplia con lavadora y secadora recamara ppal con cama king size, closet y baño 2a recamara, una cama matrimonial 3a recamara 2 camas individuales minisplits, persianas patio mediano atras pasillo amplio. A una cuadra del parque, la casa esta en calle cerrada. , no es privada.",25.7634228,-100.4178833,0,Cumbres San Agustín,101.0,200,3,2,1
