Precio,Dirección,Ubicación,Características,Descripción
"MN 28,000",No disponible,"Villa Las Fuentes, Monterrey",110 m² tot.2 rec.2 baños2 estac.,"Casa en Renta de 3 Niveles al sur de Monterrey Col Villa las Fuentes. Área de terreno 110 y Construcción 220. Casa amueblada y equipada. Primer nivel: Area social, sala, comedor y cocina integral equipada. Planta alta Recámara principal con walking closet, estancia con balcón y closet para blancos y un baño completo. Planta baja ( sótano) Tecsmara secundaria con baño completo. Habitación extra que no está amueblada ni equipada y puede usarse como área de estudio, oficina, gimnasio. Lavandería techada y patio. No se aceptan mascotas y no niños. Se renta por 6 meses con opción a un año"
"MN 35,000MN 800 Mantenimiento",No disponible,"Bosques de las Cumbres, Monterrey",175 m² tot.4 rec.5 baños2 estac.,"Casa en Renta en Bosques de las Cumbres 330 m2 Construcción171 m2 TerrenoPlanta BajaCochera para dos carros, bodega y área de boiler. Recibidor, Sala, Comedor, Cocina equipada. Lavandería y pasillo de servicio. Segunda PlantaEstancia, closet de blancos, sinkRecamara principal con baño vestidor. Recamara secundaria con baño vestidorRecamara secundaria con baño vestidor. Sótano4ta Recamara con baño completo, area de bodega o puede ser closet tambien, muy, Cuarto de servicio con baño, escalera para acceder a cochera. equipamiento: boiler de gas tipo deposito. tinaco de 1100 litros. 5 placas de marmol Y espejos en baños. 3 vestidores con cajoneras, zapateras, estantes Y maleteros. cocina integral con placa de cuarzo Y acabados de alto brillo en muebles. superiores, estufa de gas silver Y campana decorativa de acero inoxidable. estanteria en closet de blancos Y sink. 5 climas inverter en las tres recamaras, en la suite Y en el area de sala-comedor. ventajas: excelente ubicación cerca de centros comerciales Y escuelas. colonia segura con vigilancia privada Y publica las 24 horas. dos convenientes accesos al sector."
"MN 15,000",No disponible,"Cerradas de Santa Rosa, Apodaca",134 m² tot.3 rec.3 baños2 estac.,"Distrbucion. * Sala. * Comedor. * 3 Recamaras. * Cocina Integral. * Estancia. * 3 Baños completos en P. A. * 1 Medio baño en P. B. * Patio con piso. * 2 Lugares de estacionamiento techados. * Portón manual. caracteristicas: * Superficie: 134 m2. * Construcción: 192 m2. * Edad: 15 años aprox. * Mantenimiento incluido en renta. *Control de Acceso a la Colonia. equipamiento de la casa: * Boiler. * Tinaco. * Sala (2 sillones) * Comedor (mesa y 6 sillas) * Cocina integral. * Estufa. * Refrigerador. * Microondas. * 6 abanicos de techo. * 2 minisplits (en 2 de las recamaras) * 4 camas individuales con colchones nuevos. * Persianas y cortinas. * Closets. contratos de: * Luz. * Agua. * Gas natural. estatus del inmueble: *Inmueble Desocupado. *Inmueble Usado. forma de pago: * Transferencia o Depósito Bancario. * 1 Mes anticipado. * 2 Meses deposito en garantía. * Póliza Jurídica. servicios de la zona: * Agua. * cfe. * Drenaje. * Servicios Municipales. * Gas natural. * Colonia Privada. * Vialidades cercanas: Ave. Salinas de Gortari y Antiguo Camino al Mezquital. * A 7. 3 Km del centro de Apodaca. * A 14 Km del Aeropuerto Internacional. * Entorno zona La Fe, Escuelas y Centros Comerciales. Entorno. * Habitacional. * Áreas Verdes. informacion profeco: Contrato de Adhesión de Intermediación para la compraventa de inmuebles. Registrado en la Procuraduría Federal del Consumidor (profeco). Número Ver datos, de fecha 08 de mayo del 2023. Precios sujetos a cambios sin previo aviso. Araceli Garza 81 Ver datos"
"MN 30,000",No disponible,"Lomas del Vergel, Monterrey",150 m² tot.3 rec.4 baños2 estac.,"Casa en Renta en Lomas del Vergel de 4 Niveles. Gran distribución. Frente a esquinas. Vistas panorámicas permanentes. Jardineras. Con doble terraza y muchas areas de aprovechamiento. Cochera doble. Entrada con Jardineras. Recibidor doble altura. Sala comedor y cocina en concepto de espacio abierto, con vistas panorámicas de la Sierra Madre, un lugar ideal para disfrutar el cafe en las mañanas y las comidas con la familia. Cocina con cubierta de granito. En Planta Alta tenemos la estancia familiar, 2 recamaras secundarias con baño y closet cada una, con vistas de la Sierra Madre, la Recamara principal de gran tamaño con el baño y vestidor, asi como balcón y vistas a la reserva de La Silla. En tercer nivel contamos con un salon de juegos, baño completo, lavandería y doble terraza, una a la Sierra Madre y otra a la Reserva. Un gran sótano con muchas posibilidades y gran tamaño. Agenda una cita para conocer estas magnificas propiedades. Nuestros expertos están listos para brindarte una asesoría profesional. Angelica Treviño y Asociados"
"MN 45,000",No disponible,"Fraccionamiento Catujanes, Monterrey",302 m² tot.4 rec.4 baños2 estac.,"Casa de 2 plantas en fraccionamiento privado a 1 cuadra de parque. Cochera doble techada, recibidor, 1/2 baño de visitas, sala comedor con vista al jardín, cocina integral con cubierta de granito con isla, parrilla, horno y microondas, 1 recámara o estudio con baño completo, jardín de 70m2 con área asador y barra. P. A. Estancia familiar, 3 recámaras cada una con baño-vestidor. Equipada con 4 minisplit. Tg"
"MN 9,000MN 250 Mantenimiento",No disponible,"Jacarandas , Apodaca",75 m² tot.2 rec.1 baño1 estac.,"Rento. Casa semi-equipada de dos niveles. en Fracc Privado 24/7, Tranquilo y Seguro. Col. Jacarandas, en el Municipio de Apodaca; a unos pasos de Av. Julian treviño y a unos min de. sams / soriana huinala y Av. Miguel aleman. 2 Habitaciónes + 1. 5 Baños. Area de Sala & Comedor + Cocina+ Lavanderia Techada + Pasillo Lateral + Patio. Cochera Abierta (1Espacio) Incluye: 2minisplits | cocina equipada | estufa | campana | closet| abanico de techo | persianas | protectores | boiler | tinaco. - Contáctame vía WhatsApp para más Detalles, Requisitos & Citas! -"
"MN 60,00020%",No disponible,"Colinas de San Jerónimo, Monterrey",276 m² tot.3 rec.4 baños2 estac.,"Residencia en Renta con acabados de lujo en Frac. Privada en Las Colinas en 2 niveles, con amplios espacios y mucha luz natural, cuenta con paneles solares, recibidor doble altura, amplia área social, bar, estudio, cocina equipada con antecomedor, terraza con asador, muro llorón, lavandería, cuarto de servicio, cochera para 2 autos, 3 recamaras amplias con sus baños y vestidores, estancia de tv, una de las recamaras secundarias cuenta con una terraza. Precio de Renta $60, 000 ya con mantenimiento incluido. Remodelada hace 5 años. Terreno 276 m2. Construcción 380 m2. — Distribución— Planta Baja: * Recibidor doble altura. * 1/2 Baño de visitas. * Sala - comedor con salida a la terraza. * Bar con 2 enfriadores de vino. * Oficina. * Amplia cocina equipada con antecomedor, con salida a la terraza. (Cuenta con antecomedor opcional) * Terraza techada equipada con una mesa, asador, abanico, jardín vertical y muro llorón. * Lavandería equipada con Lavadora y Secadora. * Cuarto de servicio. * Cochera para 2 autos. Planta Alta: * Estancia tv. * Amplia Recamara principal con baño vestidor. (Cuenta con recamara opcional) * 2 Recamaras secundarias con baño y vestidor, y una recamara con terraza. (Una recamara cuenta con cama opcional) Equipada: Con climas centrales y minisplit. Paneles Solares. Persianas. Boilers. Lavadora y Secadora. Refrigerador."
"MN 85,000",No disponible,"Santa Engracia, San Pedro Garza García",304 m² tot.2 rec.3 baños3 estac.,"Casa amueblada en renta, Col. Sta. Engracia, excelente ubicación, salida rápida a las Avenidas Vasconcelos y Ricardo Margain. Muy cerca de exclusivos Colegios, Centros Comerciales y Restaurantes de San Pedro. Una sola planta. Recibidor, sala comedor con terraza al jardín, cocina nueva, con cubierta de granito, equipada con parrilla de inducción, campana, horno microondas y refrigerador duplex, antecomedor, cuarto de servicio con baño, lavandería con lava secadora. Dos recámaras con baño, la principal con closet vestidor y la secundaria con closet. Estancia familiar, dos medios baños (área social y área de jardín), cochera para 3 autos (con portón). Todos los equipos son nuevos Lavabos con cubierta de granito. Cisterna con purificador de agua. Conócela! Loc Id Ver datos. La disponibilidad de cada inmueble está sujeta a cambio sin previo aviso."
"MN 53,000",No disponible,"Contry, Monterrey",400 m² tot.3 rec.4 baños4 estac.,"Casa de una planta, recien remodelada, cochera para 4 autos, recibidor, amplia cocina con antecomedor, sala comedor, 3 recamaras cada una con baño Y closet, sala de tv, amplio patio con terraza techada Y asador, lavanderia Y cuarto de servicio. Casa automatizada, manejala dese tu celular. Carpinteria de primera en toda la casa. Cuarto de servicio. Jardines en el frente y el patio. Doorbell camera conectada al celular. ** no se aceptan mascotas ** **no estudiantes** excelente ubicacion. angelica treviño Y asociados. Ver datos / Ver datos"
"MN 18,000",No disponible,"Cumbres San Patricio, García",133 m² tot.3 rec.2 baños2 estac.,"Casa en renta cumbres san patricio, sector santa cecilia, hermosas áreas comunes, sector privado, vigilancia 24/7, casa club, palapa con azadores, juegos infantiles, cancha de fútbol. Primera planta: portón eléctrico, cochera techada para dos vehículos, puerta de seguridad, sala, comedor, miniplit inverter, cocina integral, lavandera techada, patio trasero. Segunda planta: estancia de tv., tres recamaras, recamara principal con baño vestidor, miniplit inverter, dos recamaras secundarias comparten baño, una con miniplit inverter la otra con abanico de techo, cortinas en todas las áreas. Disponible 01 de septiembre"
"MN 70,000",No disponible,"Valle de San Angel , San Pedro Garza García",600 m² tot.2 rec.4 baños3 estac.,"Increíble casa con elevador, rodeada de árboles de mucha sombra y bonitas vistas a la ciudad. Cuenta con 25 metros de frente, 600 metros de terreno y 369 m2 de construcción. Mucho lugar de estacionamiento en la calle. Distribución: Planta baja: cochera para 3 autos, bodega, recibidor. 1er piso: recámaras con baño vestidor, cuarto de servicio con su baño, lavanderia. 2ndo piso: sala-comedor muy amplias con ventanales con vista a la ciudad, terraza, cocina, pequeño patio, recámara con baño vestidor, medio baño para las visitas. 3er piso: Amplia terraza, baño completo, barra con lavabo. Equipamiento: elevador, cocina de granito, lavabos de granito, minisplits en todas las áreas, cortina black out en recámara principal, tinaco y cisterna con bomba. Nota: Cambio de precios sin previo aviso. La información y medidas son aproximadas y deberán ratificarse con la documentación pertinente."
"MN 3,888,000MN 500 Mantenimiento",No disponible,"Cumbres San Agustín , Monterrey",160 m² tot.3 rec.2 baños2 estac.,"Cochera para dos autos techados, medio baño de visitas, sala, comedor, cocina equipada, jardin, lavanderia cerrada, planta alta estancia familiar muy amplia Y tres recamaras, la principal con baño vestidor Y las otras dos tienen closet Y comparten baño, todas tienen minisplits, persianas, vigilancia 24 horas, parque muy grande, excelente estado de conservacion, ubicadisima, no dejes de verla!"
"MN 38,000",No disponible,"Fuentes del Valle, San Pedro Garza García",170 m² tot.3 rec.3 baños2 estac.,"Casa en excelente ubicación. Cuenta con 3 recámaras, 3 baños, sala, comedor, cocina equipada, cuarto de servicio y jardín, minisplits en todas las areas, cochera con portón eléctrico para 2 autos."
"MN 18,000",No disponible,"Pedregal Cumbres 1 Sector, Monterrey",130 m² tot.3 rec.2 baños2 estac.,"Preciosa Casa en Renta en Monterrey Paseo de Cumbres. Completamente equipada y Amueblada. A media cuadra de parque principal. Cerca de principales avenidas, centros comerciales, importantes hospitales y centros educativos. Hermosas vistas a la montaña de Mitras. Casa de dos pisos y cuenta con: Recibidor. Acogedora sala comedor. Cocina integral completa con estufa, campana y cubierta de granito. Medio baño de visitas. Lavandería cerrada y equipada con lavadora secadora. Acogedor patio jardín. Segunda planta: Tres recamaras, la principal con baño y vestidor completo, las otras dos comparten otro baño completo. Closet de blancos. Bonito y acogedor patio jardín. Total equipamiento: Incluye todos los muebles y enseres de casa. Recién remodelada y lista para habitarse."
"MN 24,000MN 900 Mantenimiento",No disponible,"Crystal Lagoons, Apodaca",120 m² tot.3 rec.3 baños2 estac.,"Opcion amueblada A $28, 000pesos Casa en venta y Renta de tres pisos con terraza al frente sin patio, utilizando todos los metros para disfrutar el interior. Ubicada en fraccionamiento con doble filtro de seguridad. La casa cuenta con ventanas Duevent Premier, cableado con eternet y bloc térmico en las ampliaciones del tercer piso, con preparacion para elevador, la cual se divide en 3 Niveles con vistas panoramicas de los alrededores, ademas cuenta con espacio para colocar elevador. Primer piso: Estacionamiento para dos autos, área social amplia de Sala- comedor, con abanicos de techo medio baño, bodega, cocina amplia con ante comedor, cocina integral de madera con parrilla de gas y cubierta de granito espacio para refrigerador dos puertas, no tiene patio. segundo piso: Lavandería techada, closet de blancos, La recamara principal con baño completo con preparación para sauna doble regadera, cuarto vestidor o estudio, closet de pared, cada una de las recamaras tiene su propio baño, y una de ellas cuenta con vestidor. tercer piso: Terraza al aire libre con asador de concreto, área social amplia con sala de cine, medio baño, sink, cocina integral con estufa campana y barra. Se puede entregar equipada por 3 mil pesos más (refrigerador, lavadora, secadora, tinaco y bomba, parilla de gas, camapana, lavavajillas, climas)"
"MN 15,500MN 1,500 Mantenimiento",No disponible,"Aeropuerto Internacional Mariano Escobedo, Apodaca",147 m² tot.4 rec.4 baños4 estac.,"Rento casa amplia en el club de golf las cruces, apodaca, N. L. Casa de 3 recamaras, sala comedor, cocina integral con dos baños completos en la planta alta y medio baño en la planta bajarecamara principal con walking closet, y baño principal las demas recamaras con closet, area amplia de jardín, cochera amplia para 2 carros, tiene club de golf, vigilancia 24/7 salida rapida a la aveida Miguel Alemán, a 5 minutos del aeropuerto,"
